,Loan_Amount,Monthly_Salary,Total_Income_for_Join_Application,Total_Sum_of_Loan,Years_to_Financial_Freedom,Loan_Tenure_Year,Credit_Card_Exceed_Months,State,Credit_Card_types,Years_for_Property_to_Completion,Number_of_Bank_Products,Decision
1356,0.53,0.68,0.53,0.15,11,0,6,4,1,0,0,1
1357,0.3,0.35,0.51,0.66,11,13,6,4,1,0,1,1
1358,0.68,0.26,0.72,0.65,11,3,6,4,0,0,0,0
1359,0.13,0.54,0.28,0.98,11,8,6,4,0,0,0,0
1360,0.88,0.86,0.46,0.27,11,7,6,4,1,0,0,0
1361,0.88,0.68,0.74,0.3,11,2,6,4,1,1,0,0
1362,0.93,0.49,0.37,0.24,10,1,6,4,2,0,0,0
1363,0.92,0.84,0.3,0.72,11,7,6,4,1,0,0,1
1364,0.23,0.49,0.14,0.83,11,4,6,4,2,0,0,0
1365,0.73,0.54,0.6,0.48,11,8,6,4,1,0,0,0
1366,0.77,0.26,0.67,0.09,11,7,6,4,1,0,0,0
1367,0.47,0.02,0.44,0.38,11,12,6,4,1,0,0,0
1368,0.7,0.95,0.26,0.9,11,10,6,4,1,0,0,0
1369,0.57,0.31,0.67,0.31,8,7,6,4,0,1,0,0
1370,0.56,0.16,0.44,0.65,11,3,6,4,1,0,0,0
1371,0.97,0.6,0.43,0.85,11,6,6,4,1,0,0,0
1372,0.47,0.23,0.01,0.55,11,3,6,4,1,2,1,0
1373,0.11,0.97,0.96,0.83,11,0,6,4,0,0,0,0
1374,0.01,0.09,0.9,0.98,11,9,6,4,1,0,1,0
1375,0.12,0.25,0.65,0.55,11,3,6,4,1,0,1,0
1376,0.78,0.72,0.39,0.76,11,11,6,4,1,0,0,0
1377,0.33,0.52,0.58,0.21,11,9,6,4,0,0,1,0
1378,0.61,0.48,0.45,0.71,11,1,6,4,1,0,0,0
1379,0.56,0.17,0.36,0.92,11,11,6,4,1,0,0,0
1380,0.86,0.46,0.06,0.05,11,11,6,4,1,0,0,0
1381,0.88,0.19,0.73,0.22,11,14,6,4,1,0,0,0
1382,0.23,0.78,0.66,0.01,11,2,6,4,1,0,2,0
1383,0.98,0.8,0.49,0.47,11,7,6,4,1,0,0,0
1384,0.53,0.25,0.24,0.26,11,9,6,4,1,2,1,0
1385,0.06,0.09,0.54,0.66,11,11,6,4,2,0,1,0
1386,0.55,0.48,0.37,0.84,11,4,6,4,1,0,0,1
1387,0.74,0.35,0.53,0.47,11,8,6,4,2,0,0,0
1388,0.5,0.6,0.46,0.96,11,8,6,4,1,0,0,1
1389,0.35,0.55,0.49,0.73,11,6,6,4,1,0,0,1
1390,0.16,0.01,0.21,1.0,11,9,6,4,0,0,0,0
1391,0.44,0.51,0.02,0.1,11,14,6,4,0,0,0,0
1392,0.74,0.03,0.9,0.93,11,12,6,4,1,0,0,0
1393,0.93,0.73,0.41,0.4,11,3,6,4,2,0,0,0
1394,0.9,0.5,0.3,0.94,11,5,6,4,1,0,0,0
1395,0.85,0.56,0.08,0.63,11,11,6,4,1,0,0,1
1396,0.69,0.04,0.48,0.53,11,10,6,4,0,0,0,0
1397,0.2,0.23,0.67,0.34,11,13,6,4,1,0,0,0
1398,0.66,0.5,0.49,0.95,11,7,6,4,1,0,0,0
1399,0.37,0.49,0.12,0.51,11,8,6,4,2,0,0,0
1400,0.56,0.37,0.41,0.27,12,2,2,4,1,1,0,0
1401,0.43,0.97,0.31,0.35,12,1,2,4,1,2,0,1
1402,0.63,0.35,0.01,0.88,12,3,2,4,1,2,2,1
1403,0.12,0.34,0.34,0.26,12,7,2,4,1,2,0,0
1404,0.78,0.72,0.25,0.24,12,9,2,4,1,2,1,0
1405,0.18,0.37,0.42,0.21,12,6,2,4,1,2,0,0
1406,0.62,0.37,0.78,0.78,12,1,2,4,1,2,0,0
1407,0.69,0.26,0.5,0.35,12,7,2,4,0,2,0,0
1408,0.77,0.63,0.15,0.54,12,9,2,4,0,2,0,1
1409,0.79,0.31,0.35,0.29,12,8,2,4,2,2,0,1
1410,0.63,0.52,0.57,0.72,12,6,2,4,2,2,0,0
1411,0.4,0.15,0.39,0.4,12,12,2,4,1,2,0,0
1412,0.93,0.31,0.18,0.44,12,10,2,4,0,2,0,0
1413,0.58,0.26,0.43,0.39,12,10,2,4,0,2,0,0
1414,0.19,0.15,0.78,0.15,12,7,2,4,1,2,0,0
1415,0.47,0.34,0.77,0.32,12,8,2,4,1,2,0,0
1416,0.79,0.35,0.77,0.38,11,14,2,4,0,2,0,0
1417,0.57,0.32,0.19,0.49,12,4,2,4,1,2,0,0
1418,0.8,0.04,0.55,0.27,12,11,2,4,1,2,0,0
1419,0.56,0.42,0.42,0.84,12,9,2,4,0,2,0,1
1420,0.98,0.54,0.35,0.89,12,4,2,4,1,1,0,1
1421,0.54,0.65,0.62,0.98,12,13,2,4,1,2,0,0
1422,0.84,0.39,0.63,0.61,12,8,2,4,1,2,0,0
1423,0.48,0.22,0.39,0.82,10,0,2,4,1,2,0,0
1424,0.44,0.4,0.64,0.09,12,8,2,4,0,1,0,0
1425,0.74,0.13,0.68,0.44,12,11,2,4,1,2,0,1
1426,0.13,0.64,0.42,0.53,12,5,2,4,0,2,0,0
1427,0.85,0.21,0.58,0.42,12,11,2,4,1,2,0,0
1428,0.44,0.49,0.92,0.64,12,7,2,4,1,1,0,0
1429,0.48,0.54,0.36,0.06,12,3,2,4,1,2,0,0
1430,0.13,0.78,0.38,0.71,12,11,2,4,1,1,0,1
1431,0.94,0.35,0.8,0.6,12,4,2,4,1,2,0,0
1432,0.2,0.89,0.86,0.75,12,1,2,4,1,2,2,1
1433,0.55,0.36,0.87,0.43,12,8,2,4,0,1,0,1
1434,0.5,0.98,0.42,0.55,12,10,2,4,0,2,2,0
1435,0.5,0.32,0.23,0.19,12,7,2,4,1,2,1,0
1436,0.4,0.76,0.39,0.25,11,3,2,4,0,2,0,0
1437,0.04,0.58,0.14,0.93,12,13,2,4,0,2,0,1
1438,0.66,0.51,0.93,0.53,12,4,2,4,1,2,0,1
1439,0.88,0.49,0.81,0.58,10,14,2,4,1,2,0,0
1440,0.64,0.84,0.38,0.87,12,8,2,4,0,2,1,0
1441,0.25,0.15,0.99,0.84,10,9,2,4,1,2,1,0
1442,0.39,0.44,0.57,0.41,12,10,2,4,0,2,0,0
1443,0.57,0.92,0.45,0.46,12,10,2,4,1,1,0,0
1444,0.45,0.75,0.46,0.3,12,13,2,4,1,2,0,0
1445,0.86,0.18,0.39,0.56,12,4,2,4,1,2,0,0
1446,0.26,0.06,0.31,0.35,12,3,2,4,0,2,2,0
1447,0.95,0.66,0.96,0.77,10,13,2,4,1,2,1,0
1448,0.07,0.21,0.77,0.35,12,12,2,4,0,2,0,0
1449,0.67,0.85,0.09,0.42,12,5,2,4,2,2,0,0
1450,0.01,0.53,0.42,0.21,12,10,2,4,0,2,0,0
1451,0.59,0.35,0.4,0.18,12,10,2,4,1,2,0,0
1452,0.89,0.48,0.7,0.12,10,5,2,4,0,2,0,1
1453,0.4,0.28,0.92,0.22,12,2,2,4,1,2,1,0
1454,0.18,0.49,0.9,0.81,11,1,2,4,1,0,0,0
1455,0.42,0.49,0.51,0.84,12,13,2,4,0,2,0,0
1456,0.67,0.37,0.34,0.74,12,5,2,4,1,1,0,0
1457,0.96,0.3,0.36,0.58,12,14,2,4,0,2,0,1
1458,0.58,0.11,0.65,0.53,12,11,2,4,0,2,2,0
1459,0.76,0.75,0.03,0.76,12,6,2,4,1,2,0,1
1460,0.56,0.85,0.52,0.67,10,4,2,4,0,2,0,0
1461,0.42,0.96,0.38,0.16,12,11,2,4,1,2,1,0
1462,0.51,0.84,0.64,0.49,12,12,2,4,1,2,0,0
1463,0.6,0.43,0.54,0.69,12,14,2,4,0,2,0,0
1464,0.48,0.14,0.74,0.03,12,12,2,4,1,2,0,0
1465,0.72,0.65,0.26,0.21,10,0,2,4,1,2,0,1
1466,0.64,0.63,0.62,0.39,12,9,2,4,1,2,0,0
1467,0.78,0.18,0.89,0.3,12,9,2,4,1,2,0,0
1468,0.38,0.25,0.92,0.09,12,3,2,4,1,2,0,0
1469,0.56,0.9,0.7,0.96,12,11,2,4,1,2,0,0
1470,0.6,0.2,0.62,0.58,12,2,2,4,0,2,0,0
1471,0.9,0.6,0.65,0.7,12,7,2,4,0,2,1,0
1472,0.29,0.36,0.4,0.37,12,7,2,4,0,2,0,0
1473,0.54,0.59,0.17,0.38,12,7,2,4,1,2,0,0
1474,0.18,0.08,0.32,0.93,11,2,2,4,2,2,1,0
1475,1.0,0.3,0.37,0.04,12,0,2,4,1,2,0,0
1476,0.75,0.47,0.34,0.92,11,8,2,4,1,2,0,1
1477,0.77,0.25,0.12,0.37,12,4,2,4,1,2,0,0
1478,0.73,0.23,0.14,0.1,12,5,2,4,1,2,0,0
1479,0.87,0.43,0.42,0.43,12,10,2,4,1,2,1,0
1480,0.45,0.53,0.58,0.48,12,14,2,4,1,2,0,1
1481,0.81,0.3,0.97,0.47,12,7,2,4,1,2,0,0
1482,0.69,0.74,0.76,0.59,12,8,2,4,1,2,0,1
1483,0.62,0.78,0.31,0.42,12,7,2,4,1,2,0,0
1484,0.8,0.88,0.01,0.28,12,7,2,4,1,2,0,0
1485,0.65,0.53,0.5,0.41,12,12,2,4,0,1,0,1
1486,0.21,0.4,0.38,0.65,12,9,2,4,0,2,0,1
1487,0.65,0.76,0.62,0.34,12,5,2,4,1,1,0,1
1488,0.91,0.24,0.21,0.47,12,12,2,4,1,2,1,1
1489,0.61,0.07,0.63,0.77,12,12,2,4,0,2,2,0
1490,0.31,0.41,0.37,0.66,12,1,2,4,1,2,0,0
1491,0.46,0.22,0.58,0.65,12,2,2,4,0,2,0,1
1492,0.92,0.74,0.96,0.83,12,14,2,4,0,2,0,1
1493,0.89,0.34,0.58,0.85,12,7,2,4,0,2,0,1
1494,0.81,0.28,0.35,0.78,12,1,2,4,0,2,0,0
1495,0.09,0.54,0.32,0.87,12,5,2,4,1,2,1,1
1496,0.46,0.22,0.43,0.14,12,12,2,4,1,2,2,0
1497,0.28,0.67,0.07,0.38,12,12,2,4,2,2,0,0
1498,0.27,0.78,0.3,0.68,12,8,2,4,0,2,0,0
1499,0.58,0.99,0.33,0.04,12,7,2,4,1,2,0,1
1500,0.36,0.52,0.35,0.59,12,5,5,4,1,0,0,0
1501,0.3,0.17,0.53,0.73,12,13,5,4,1,0,0,0
1502,0.1,0.92,0.23,0.48,12,3,5,4,1,0,0,0
1503,0.26,0.57,0.07,0.52,12,10,5,4,0,0,0,0
1504,0.3,0.16,0.59,0.15,12,7,5,4,1,2,1,0
1505,0.96,0.14,0.32,0.67,11,14,5,4,2,0,0,1
1506,0.71,0.62,0.71,0.38,12,12,5,4,2,0,0,0
1507,0.3,0.35,0.3,0.25,12,3,5,4,1,0,0,1
1508,0.95,0.6,0.36,0.62,11,10,5,4,1,1,0,0
1509,0.6,0.5,0.29,0.63,12,3,5,4,1,0,0,1
1510,0.58,0.28,0.39,0.03,12,12,5,4,0,1,0,0
1511,0.28,0.85,0.33,0.0,12,2,5,4,2,0,0,0
1512,0.17,0.85,0.33,0.56,12,7,5,4,2,0,0,1
1513,0.12,0.75,0.38,0.19,12,6,5,4,0,1,0,0
1514,0.2,0.49,0.38,0.73,12,7,5,4,1,0,0,1
1515,0.09,0.45,0.17,0.43,12,12,5,4,1,0,1,0
1516,0.58,0.15,0.11,0.03,12,11,5,4,1,0,0,0
1517,0.2,0.24,0.24,0.33,12,5,5,4,1,0,0,0
1518,0.76,0.53,0.28,0.29,12,4,5,4,1,0,0,0
1519,0.12,0.53,0.11,0.49,12,0,5,4,1,0,0,0
1520,0.67,0.4,0.44,0.78,12,10,5,4,1,0,0,0
1521,0.39,0.52,0.34,0.51,12,12,5,4,1,0,0,0
1522,0.31,0.82,0.68,0.83,12,0,5,4,1,0,2,1
1523,0.52,0.42,0.42,0.11,11,3,5,4,1,0,0,1
1524,0.57,0.0,0.5,0.75,10,0,5,4,1,0,1,1
1525,0.99,0.26,0.28,0.7,12,5,5,4,1,0,0,0
1526,0.74,0.89,0.36,0.88,12,4,5,4,1,0,0,0
1527,0.0,0.79,0.37,0.28,10,0,5,4,1,0,0,0
1528,0.98,0.41,0.37,0.28,11,8,5,4,1,1,0,1
1529,0.48,0.59,0.23,0.51,12,3,5,4,1,0,0,0
1530,0.94,0.59,0.28,0.68,12,4,5,4,1,0,0,1
1531,0.99,0.06,0.28,0.7,12,7,5,4,1,0,0,0
1532,0.64,0.38,0.25,0.18,12,0,5,4,2,0,0,1
1533,0.27,0.57,0.42,0.49,12,6,5,4,1,0,0,1
1534,0.83,0.48,0.1,0.6,12,6,5,4,0,0,0,1
1535,0.72,0.78,0.85,0.42,12,4,5,4,0,0,0,0
1536,0.38,0.21,0.77,0.29,10,9,5,4,1,2,0,0
1537,0.69,0.67,0.5,0.62,11,13,5,4,2,0,1,0
1538,0.46,0.38,0.48,0.58,12,9,5,4,1,0,0,0
1539,0.73,0.53,0.22,0.46,12,3,5,4,1,0,0,0
1540,0.37,0.52,0.29,0.96,12,9,5,4,1,0,1,0
1541,0.38,0.47,0.28,0.6,12,5,5,4,1,0,0,0
1542,0.71,0.73,0.02,0.7,12,12,5,4,1,0,0,0
1543,0.37,0.74,0.37,0.59,10,1,5,4,1,0,0,0
1544,0.61,0.53,0.3,0.49,12,13,5,4,0,0,0,0
1545,0.58,0.59,0.28,0.51,12,4,5,4,1,0,0,0
1546,0.03,0.6,0.29,0.44,12,11,5,4,0,0,0,0
1547,0.33,0.88,0.4,0.28,12,8,5,4,1,0,0,1
1548,0.57,0.47,0.27,0.55,12,2,5,4,1,0,0,1
1549,0.94,0.24,0.31,0.56,12,11,5,4,0,0,0,0
1550,0.98,0.81,0.83,0.64,12,0,5,4,0,0,0,1
1551,0.47,0.41,0.36,0.49,12,4,5,4,0,0,0,0
1552,0.92,0.01,0.43,0.49,12,14,5,4,1,0,1,0
1553,0.06,0.21,0.74,0.39,12,9,5,4,0,0,0,0
1554,0.68,0.42,0.54,0.53,12,10,5,4,2,2,1,0
1555,0.64,0.5,0.03,1.0,12,2,5,4,1,0,0,0
1556,0.15,0.76,0.44,0.4,12,13,5,4,0,0,0,0
1557,0.06,0.0,0.53,0.92,12,12,5,4,1,0,0,0
1558,0.03,0.41,0.25,0.73,12,6,5,4,2,0,0,0
1559,0.54,0.32,0.82,0.14,12,14,5,4,1,0,0,0
1560,0.66,0.24,0.23,0.39,12,0,5,4,1,0,0,0
1561,0.51,0.1,0.59,0.5,12,9,5,4,0,2,1,1
1562,0.75,0.9,0.38,0.87,11,10,5,4,1,0,1,1
1563,0.3,0.47,0.42,0.14,11,13,5,4,0,0,0,0
1564,0.21,0.51,0.43,0.76,12,8,5,4,1,0,0,0
1565,0.31,0.02,0.33,0.68,12,5,5,4,1,0,0,0
1566,0.75,0.35,0.45,0.83,11,14,5,4,1,0,1,1
1567,0.45,0.96,0.48,0.69,10,9,5,4,1,0,0,1
1568,0.24,0.61,0.14,0.7,11,10,5,4,2,0,0,1
1569,0.32,0.45,0.13,0.76,12,6,5,4,1,0,1,0
1570,0.79,0.46,0.58,0.25,11,9,5,4,0,0,0,1
1571,0.58,0.91,0.55,0.98,12,0,5,4,1,0,1,0
1572,0.74,0.02,0.39,0.85,12,8,5,4,0,0,0,0
1573,0.66,0.09,0.7,0.13,12,3,5,4,0,0,0,0
1574,0.76,0.29,0.89,0.35,12,1,5,4,2,0,1,0
1575,0.33,0.03,0.28,0.48,12,6,5,4,1,0,0,0
1576,0.93,0.9,0.43,0.24,11,8,5,4,1,0,0,1
1577,0.58,0.78,0.53,0.66,12,1,5,4,1,0,0,0
1578,0.91,0.01,0.67,0.39,11,11,5,4,0,0,0,0
1579,0.93,0.47,0.31,0.92,12,3,5,4,1,0,0,0
1580,0.88,0.72,0.42,0.29,12,13,5,4,1,0,0,0
1581,0.06,0.22,0.97,0.46,12,11,5,4,1,0,1,0
1582,0.52,0.44,0.33,0.23,12,7,5,4,0,0,0,0
1583,0.89,0.73,0.39,0.27,12,8,5,4,1,0,0,0
1584,0.73,0.2,0.4,0.65,12,8,5,4,0,0,0,0
1585,0.7,0.43,0.07,0.48,12,2,5,4,1,0,0,0
1586,0.58,0.17,0.27,0.46,12,12,5,4,1,0,0,1
1587,0.02,0.1,0.54,0.58,12,14,5,4,0,2,1,1
1588,0.64,0.53,0.43,0.99,12,2,5,4,1,0,0,0
1589,0.24,0.66,0.4,0.58,12,5,5,4,1,0,0,0
1590,0.43,0.23,0.41,0.59,12,13,5,4,1,0,0,0
1591,0.66,0.99,0.78,0.66,12,5,5,4,0,0,0,0
1592,0.76,0.7,0.38,0.29,12,8,5,4,1,1,0,1
1593,0.4,0.62,0.33,0.74,12,4,5,4,1,0,0,0
1594,0.12,0.8,0.33,0.37,12,1,5,4,1,0,0,1
1595,0.35,0.54,0.75,0.42,12,3,5,4,0,2,0,1
1596,0.4,0.09,0.4,0.69,12,8,5,4,2,0,0,1
1597,0.98,0.33,0.42,0.5,12,9,5,4,1,0,0,0
1598,0.87,0.02,0.36,0.49,12,14,5,4,0,0,0,0
1599,0.04,0.31,0.49,0.93,11,7,5,4,1,2,0,0
1600,0.75,0.44,0.56,0.19,13,2,3,4,1,0,0,0
1601,0.76,0.02,0.41,0.4,13,9,3,4,1,0,0,0
1602,0.66,0.45,0.11,0.15,13,12,3,4,1,0,0,0
1603,0.06,0.19,0.25,0.52,13,5,3,4,1,0,0,0
1604,0.39,0.48,0.22,0.34,13,4,3,4,0,0,0,0
1605,0.65,0.12,0.66,0.01,13,12,3,4,1,0,0,0
1606,0.47,0.63,0.26,0.73,13,12,3,4,1,0,1,0
1607,0.82,0.25,0.38,0.66,10,9,3,4,1,0,0,0
1608,0.72,0.01,0.36,0.18,13,5,3,4,1,0,1,0
1609,0.74,0.58,0.61,0.3,10,14,3,4,1,0,2,0
1610,0.56,0.58,0.39,0.9,10,3,3,4,1,0,1,0
1611,0.45,0.4,0.31,0.8,13,14,3,4,1,1,1,0
1612,0.51,0.31,0.96,0.7,13,7,3,4,0,0,0,0
1613,0.8,0.4,0.1,0.48,13,9,3,4,1,0,0,0
1614,0.14,0.78,0.11,0.11,11,8,3,4,1,2,0,1
1615,0.0,0.23,0.37,0.08,13,1,3,4,1,0,0,0
1616,0.27,0.69,0.31,0.43,13,5,3,4,2,0,0,0
1617,0.3,0.66,0.44,0.52,12,4,3,4,1,0,0,0
1618,0.12,0.68,0.43,0.32,10,10,3,4,1,0,0,0
1619,0.56,0.48,0.4,0.92,13,13,3,4,1,0,0,0
1620,0.35,0.76,0.15,0.53,13,6,3,4,0,0,0,0
1621,0.3,0.1,0.55,0.18,13,13,3,4,1,0,0,0
1622,0.05,0.7,0.52,0.37,13,9,3,4,2,0,1,1
1623,0.64,0.39,0.59,0.65,13,12,3,4,2,0,0,0
1624,0.57,0.67,0.53,0.75,13,8,3,4,0,0,0,0
1625,0.5,0.98,0.43,0.94,13,9,3,4,0,0,0,0
1626,0.53,0.66,0.21,0.61,13,7,3,4,1,0,0,0
1627,0.4,0.28,0.47,0.37,13,9,3,4,1,0,0,0
1628,0.57,0.4,0.03,0.73,13,7,3,4,0,0,0,0
1629,0.9,0.19,0.64,0.24,13,7,3,4,1,0,0,0
1630,0.59,0.82,0.15,0.0,13,2,3,4,0,0,3,0
1631,0.13,0.67,0.8,0.48,13,5,3,4,1,0,0,0
1632,0.2,0.87,0.46,0.01,13,14,3,4,1,0,1,0
1633,0.98,0.7,0.22,0.33,13,6,3,4,1,0,0,1
1634,0.67,0.49,0.33,0.02,10,12,3,4,2,0,0,0
1635,0.49,0.12,0.38,0.54,13,9,3,4,1,0,0,0
1636,0.1,1.0,0.35,0.22,11,6,3,4,0,2,0,0
1637,0.15,0.15,0.5,0.98,13,9,3,4,0,0,1,0
1638,0.66,0.66,0.42,0.85,10,6,3,4,0,0,0,1
1639,0.23,0.35,0.85,0.58,10,0,3,4,1,0,0,0
1640,0.56,0.49,0.12,0.9,9,10,3,0,1,0,0,0
1641,0.29,0.23,0.93,0.81,11,14,3,0,1,2,0,0
1642,0.85,0.44,0.1,0.93,13,8,3,0,2,2,1,0
1643,0.62,0.09,0.56,0.26,13,14,3,0,1,0,0,0
1644,0.45,0.06,0.33,0.64,13,4,3,0,0,2,0,0
1645,0.07,0.22,0.09,0.42,10,6,3,0,1,0,0,1
1646,0.89,0.28,0.44,0.06,10,8,3,0,1,2,1,1
1647,0.92,0.82,0.12,0.46,13,8,3,0,1,0,0,0
1648,0.14,0.11,0.81,0.87,13,8,3,0,1,2,0,0
1649,0.64,0.94,0.56,0.8,13,13,3,0,1,0,0,0
1650,0.42,0.37,0.25,0.53,13,1,3,0,1,0,3,0
1651,0.86,0.11,0.72,0.28,13,9,3,0,1,0,0,0
1652,0.46,0.27,0.42,0.43,9,7,3,0,1,0,1,0
1653,0.53,0.97,0.4,0.86,10,0,3,0,0,0,0,1
1654,0.69,0.59,0.39,0.83,13,6,3,0,0,0,0,0
1655,0.21,0.62,0.61,0.07,13,10,3,0,1,0,1,0
1656,0.09,0.88,0.35,0.65,10,8,3,0,1,0,0,0
1657,0.88,0.22,0.34,0.97,10,0,3,0,1,0,0,0
1658,0.61,0.17,0.8,0.84,13,8,3,0,1,2,0,0
1659,0.13,0.77,0.49,0.74,13,9,3,0,1,1,0,1
1660,0.78,0.6,0.5,0.71,13,6,3,0,0,0,0,0
1661,0.63,0.82,0.3,0.22,11,13,3,0,1,0,0,0
1662,0.02,0.67,0.54,0.35,13,2,3,0,0,1,0,1
1663,0.38,0.65,0.89,0.38,13,2,3,0,0,0,0,0
1664,0.7,0.74,0.65,0.45,13,12,3,0,0,0,2,0
1665,0.28,0.95,0.47,0.69,13,11,3,0,0,0,0,1
1666,0.73,0.49,0.42,0.41,13,14,3,0,1,0,0,1
1667,0.37,0.61,0.71,0.2,13,5,3,0,0,0,0,0
1668,0.23,0.7,0.42,0.38,10,4,3,0,2,0,1,0
1669,0.4,0.39,0.87,0.22,11,6,3,0,2,0,0,0
1670,0.78,0.65,0.3,0.13,13,7,3,0,1,0,0,0
1671,0.63,0.82,0.3,0.22,9,13,3,0,1,0,0,0
1672,0.35,0.57,0.28,0.15,13,5,3,0,0,0,0,0
1673,0.43,0.77,0.53,0.62,13,1,3,0,1,1,0,0
1674,0.02,0.85,0.3,0.52,13,7,3,0,0,0,0,0
1675,0.95,0.2,0.09,0.47,13,14,3,0,0,0,1,1
1676,0.74,0.47,0.27,0.82,13,9,3,0,1,0,0,0
1677,0.96,0.96,0.42,0.04,9,6,3,0,0,2,0,1
1678,0.49,0.4,0.44,0.06,13,14,3,0,1,1,0,1
1679,0.1,0.62,0.4,0.83,13,0,3,0,1,0,1,1
1680,0.73,0.29,0.28,0.59,13,3,3,0,1,0,0,0
1681,0.46,0.64,0.37,0.02,13,8,3,0,0,2,1,0
1682,0.54,0.71,0.16,0.91,13,8,3,0,0,2,0,0
1683,0.43,0.18,0.39,0.44,13,0,3,0,1,0,0,0
1684,0.65,0.26,0.32,0.95,11,12,3,0,1,2,0,1
